Mineral,Meteorite(s)
ADDIBISCHOFFITE,Acfer
ADRIANITE,Allende
AKIMOTOITE,Tenham
ASIMOWITE,Suizhou;Quebrada
BARRINGERITE,Ollague
BECKETTITE,Allende
BREZINAITE,Tucson
BROWNEITE,Zaklodzie;Zaklodzie
BUCHWALDITE,Agpalilik
BURNETTITE,Allende
BUSECKITE,Zaklodzie;Zaklodzie
BUTIANITE,Allende
CARLETONMOOREITE,Norton County
CARLSBERGITE,Agpalilik
CASWELLSILVERITE,Norton County
CHLADNIITE,Carleton
CHUKANOVITE,Dronino
COHENITE,Magura;Avra
CZOCHRALSKIITE,Morasko
DAVISITE,Allende
DECAGONITE,Khatyrka
DJERFISHERITE,Kota-Kota
DMITRYIVANOVITE,NWA470
DRONINOITE,Dronino
FARRINGTONITE,Springwater
FLORENSKYITE,Kaidun
GALILEIITE,Grant
GROSSMANITE,Allende
HAPKEITE,Dhofar;Dh-280
HAXONITE,Toluca;Canyon Diablo
HEIDEITE,Bustee
HOLLISTERITE,Khatyrka
HUTCHEONITE,Allende
JOEGOLDSTEINITE,Social Circle
KAITIANITE,Allende
KANGITE,Allende
KEILITE,Abee;Adhi-Kot;Saint-Sauveur
KRINOVITE,Canyon Diablo
KROTITE,NWA1934
KRYACHKOITE,Khatyrka
LINGUNITE,Sixiangkou
MACHIITE,Murchison
MAJINDEITE,Allende;Qutrixpileo
MELLINIITE,NWA 1054
MERRIHUEITE,Madaras;Mezmadaras
MONIPITE,Canyon Diablo;Allende
MORASKOITE,Morasko
MURCHISITE,Murchison
NIERITE,Andrar;Inman;Tieschitz;Indarch
NUWAITE,Allende
OLDHAMITE,Bustee
PANETHITE,Dayton
PANGUITE,Allende
PAQUEITE,Allende
ROALDITE,Jerslev;Youndegin
RUBINITE,Vigarano
RUDASHEVSKYITE,Indarch
SINOITE,Jajh deh Kot Lalu
STANFIELDITE,Estherville
SUESSITE,North Haig
TISTARITE,Allende
TROILITE,Albareto
UAKITITE,Uakit
WADSLEYITE,Peace River
WARKITE,Murchison meteorite
WASSONITE,Yamato 691
XIEITE,Suizhou
YAGIITE,Colomera
